job_id,symbol,lane,experiment_type,rank,score,f1,precision,recall,stability,coverage_days,fires,rules
43,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,17,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND bid_volume_1 <= 9 AND ask_volume_1 <= 22 AND book_imbalance > 0.470588
43,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,18,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND bid_volume_1 <= 9 AND book_imbalance > 0.470588 AND total_levels > 3
43,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,19,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac <= 0.7001 AND bid_volume_1 <= 9 AND book_imbalance > 0.470588 AND total_levels > 3
44,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,3,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND spread_over_mid <= 0.00100481 AND bid_volume_1 <= 9 AND book_imbalance > 0.470588
44,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,4,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND spread_over_mid <= 0.00104439 AND bid_volume_1 <= 9 AND book_imbalance > 0.470588
44,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,5,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND spread_over_mid <= 0.0010717 AND bid_volume_1 <= 9 AND book_imbalance > 0.470588
44,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,6,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND spread_over_mid <= 0.0010882 AND bid_volume_1 <= 9 AND book_imbalance > 0.470588
44,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,7,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND spread_over_mid <= 0.00110445 AND bid_volume_1 <= 9 AND book_imbalance > 0.470588
44,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,8,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND spread_over_mid <= 0.00115983 AND bid_volume_1 <= 9 AND book_imbalance > 0.470588
44,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,9,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND spread_over_mid <= 0.001333 AND bid_volume_1 <= 9 AND book_imbalance > 0.470588
44,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,10,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND spread_over_mid <= 0.00137658 AND bid_volume_1 <= 9 AND book_imbalance > 0.470588
44,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,11,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND bid_volume_1 <= 9 AND ask_volume_1 <= 8 AND book_imbalance > 0.470588
44,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,12,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND bid_volume_1 <= 9 AND ask_volume_1 <= 9 AND book_imbalance > 0.470588
44,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,13,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND bid_volume_1 <= 9 AND ask_volume_1 <= 10 AND book_imbalance > 0.470588
44,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,14,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND bid_volume_1 <= 9 AND ask_volume_1 <= 11 AND book_imbalance > 0.470588
44,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,15,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND bid_volume_1 <= 9 AND ask_volume_1 <= 12 AND book_imbalance > 0.470588
44,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,16,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND bid_volume_1 <= 9 AND ask_volume_1 <= 15 AND book_imbalance > 0.470588
44,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,17,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND bid_volume_1 <= 9 AND ask_volume_1 <= 22 AND book_imbalance > 0.470588
44,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,18,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND bid_volume_1 <= 9 AND book_imbalance > 0.470588 AND total_levels > 3
44,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,19,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac <= 0.7001 AND bid_volume_1 <= 9 AND book_imbalance > 0.470588 AND total_levels > 3
379,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,3,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND spread_over_mid <= 0.00100481 AND bid_volume_1 <= 9 AND book_imbalance > 0.470588
379,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,4,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND spread_over_mid <= 0.00104439 AND bid_volume_1 <= 9 AND book_imbalance > 0.470588
379,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,5,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND spread_over_mid <= 0.0010717 AND bid_volume_1 <= 9 AND book_imbalance > 0.470588
379,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,6,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND spread_over_mid <= 0.0010882 AND bid_volume_1 <= 9 AND book_imbalance > 0.470588
379,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,7,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND spread_over_mid <= 0.00110445 AND bid_volume_1 <= 9 AND book_imbalance > 0.470588
379,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,8,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND spread_over_mid <= 0.00115983 AND bid_volume_1 <= 9 AND book_imbalance > 0.470588
379,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,9,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND spread_over_mid <= 0.001333 AND bid_volume_1 <= 9 AND book_imbalance > 0.470588
379,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,10,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND spread_over_mid <= 0.00137658 AND bid_volume_1 <= 9 AND book_imbalance > 0.470588
379,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,11,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND bid_volume_1 <= 9 AND ask_volume_1 <= 8 AND book_imbalance > 0.470588
379,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,12,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND bid_volume_1 <= 9 AND ask_volume_1 <= 9 AND book_imbalance > 0.470588
379,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,13,0.5077980199375898,0.5454545454545454,0.375,1.0,0.4769881354237169,3,8,time_frac > 0.30006 AND bid_volume_1 <= 9 AND ask_volume_1 <= 10 AND book_imbalance > 0.470588
